VA,PA,PMU_Type,Rank,Bank,BankGroup
0x7f003b6fd400,0x2094a5400,13,0,10,2
0x7f010760af00,0x1eff4ff00,17,0,14,2
0x7f00dbec9080,0x2b3044080,13,0,1,1
0x7effac237a00,0x2b214fa00,14,0,12,0
0x7f015bd84080,0x1fcd3a080,13,0,1,1
0x7f01464aba00,0x2b2d44a00,14,0,4,0
0x7effebd76c80,0x28486bc80,13,0,15,3
0x7f00d4fb5000,0x1e7ead000,13,0,8,0
0x7f00fc75f300,0x2c5974300,17,0,0,0
0x7f00b29e6c80,0x1f9fa2c80,13,0,7,3
0x7f0107591680,0x1f0784680,14,0,3,3
0x7f007390c080,0x287423080,13,0,9,1
0x7f016f3e6180,0x203007180,16,0,9,1
0x7f006a5f0b00,0x225e28b00,17,0,4,0
0x7effb4f10700,0x2cb5df700,17,0,10,2
0x7effd3bd3380,0x2c4816380,17,0,1,1
0x7f012db41080,0x1fe00f080,13,0,9,1
0x7f0040634680,0x2074f2680,14,0,3,3
0x7f0171a9b000,0x1ffdb4000,13,0,0,0
0x7f00a19ad600,0x2bc9a9600,14,0,10,2
0x7f0091876f80,0x2087cdf80,17,0,15,3
0x7f01402a8580,0x20578f580,16,0,11,3
0x7f015bceaf80,0x1d993ef80,17,0,7,3
0x7f0083fb4980,0x28a519980,16,0,13,1
0x7f0045f93c80,0x2bff2fc80,13,0,15,3
0x7f0035804100,0x2b3a74100,16,0,0,0
0x7f00366a8800,0x2c383e800,13,0,4,0
0x7f018610c680,0x227f73680,14,0,11,3
0x7f00eae81e00,0x2002c6e00,14,0,6,2
0x7f018ad6d780,0x2b78f8780,17,0,3,3
0x7f008daa9b80,0x2357e1b80,17,0,13,1
0x7f00ad56e080,0x2b0f01080,13,0,9,1
0x7effb3cece00,0x1dc78ce00,14,0,6,2
0x7f00c69c2d80,0x1d811ad80,16,0,7,3
0x7f000b5dc780,0x20afaa780,17,0,3,3
0x7f0101174f00,0x1eb6d7f00,17,0,14,2
0x7f00d5397400,0x200f86400,13,0,2,2
0x7f014e60f400,0x25863a400,13,0,2,2
0x7f00d7848a80,0x2b3c87a80,14,0,13,1
0x7f0180e9a680,0x2ce3c5680,14,0,11,3
0x7f000b12d400,0x22dc1e400,13,0,2,2
0x7effdaecfa80,0x2c5656a80,14,0,5,1
0x7f010f97c980,0x2b05f3980,16,0,13,1
0x7effacc32680,0x1ef19c680,14,0,3,3
0x7f00e80a7280,0x235c5d280,14,0,9,1
0x7f00dcf5ec80,0x2033c7c80,13,0,15,3
0x7effae4ae980,0x20c4b2980,16,0,5,1
0x7f0080309a80,0x2ba031a80,14,0,13,1
0x7effaca3d400,0x2b13f5400,13,0,10,2
0x7eff8faf1580,0x2f220f580,16,0,11,3
0x7eff9f20ac00,0x2b00c4c00,13,0,6,2
0x7f00b503b380,0x15de91380,17,0,9,1
0x7f003d251a00,0x22809ba00,14,0,12,0
0x7f0052ff2480,0x2052d2480,13,0,3,3
0x7f008a5dc500,0x227aee500,16,0,2,2
0x7f010ec44c00,0x1efc5ec00,13,0,6,2
0x7f00da6f9300,0x25cc4d300,17,0,8,0
0x7f004d8ad600,0x231575600,14,0,10,2
0x7f00164be780,0x22d726780,17,0,3,3
0x7f0101242400,0x20a39c400,13,0,2,2
0x7f006c84da80,0x2044bda80,14,0,13,1
0x7f00ada84880,0x20bc20880,13,0,5,1
0x7f002183be00,0x2290b9e00,14,0,14,2
0x7eff92865b80,0x203f12b80,17,0,5,1
0x7effaac28b00,0x28dba3b00,17,0,12,0
0x7f013d460e00,0x288675e00,14,0,14,2
0x7f00a818b680,0x2b9cc4680,14,0,3,3
0x7f0035da3800,0x2eb6b4800,13,0,4,0
0x7f016e4b4900,0x295f5f900,16,0,12,0
0x7f0133845500,0x20caa7500,16,0,10,2
0x7effc6df0780,0x2ac972780,17,0,3,3
0x7f0109368800,0x2e42ab800,13,0,12,0
0x7effef16c780,0x1e5321780,17,0,11,3
0x7effaff2d700,0x2cd006700,17,0,2,2
0x7f012dac3a80,0x285226a80,14,0,5,1
0x7efff255e980,0x2bb2e0980,16,0,5,1
0x7f0175cdec00,0x2be974c00,13,0,6,2
0x7f004c9db980,0x208b7d980,16,0,13,1
0x7f003773f500,0x32892c500,16,0,2,2
0x7f006f961c00,0x1ffe42c00,13,0,6,2
0x7f0153f66680,0x207df7680,14,0,11,3
0x7f014f369780,0x2bd3ab780,17,0,11,3
0x7effa7c2cc00,0x1e4a67c00,13,0,14,2
0x7f002ce9cd80,0x20b8c9d80,16,0,15,3
0x7effdb070c00,0x211d11c00,13,0,14,2
0x7f00add40400,0x1f6b17400,13,0,10,2
0x7f0170d3a400,0x227cb4400,13,0,2,2
0x7f00e1d18e80,0x225f11e80,14,0,15,3
0x7efff5e8ca00,0x2afa3da00,14,0,12,0
0x7f012069fb00,0x1ff798b00,17,0,4,0
0x7effa4784100,0x20ca2b100,16,0,8,0
0x7f008be2f980,0x2bd2f5980,16,0,13,1
0x7eff94daf680,0x1fa032680,14,0,3,3
0x7f0021b4b700,0x1fe692700,17,0,2,2
0x7f00db41a880,0x2056c8880,13,0,5,1
0x7f002ca24c00,0x2c12e9c00,13,0,14,2
0x7f002943de00,0x2b2996e00,14,0,6,2
0x7f0050640c80,0x267b7fc80,13,0,15,3
0x7effd3869380,0x2afa97380,17,0,9,1
0x7effd8319f80,0x328801f80,17,0,15,3
0x7f0130d8dd00,0x1fb16bd00,16,0,14,2
0x7f0048109380,0x202dd0380,17,0,1,1
0x7f01422d0f80,0x28a7c9f80,17,0,15,3
0x7f0182b3cd80,0x291c97d80,16,0,15,3
0x7f00de436880,0x2bc6ae880,13,0,5,1
0x7f00d247be00,0x23040ee00,14,0,6,2
0x7f01427a8d80,0x1ee80ad80,16,0,7,3
0x7f00d21eb700,0x214bda700,17,0,2,2
0x7f00ffc84b00,0x2340eab00,17,0,4,0
0x7f0051c15000,0x20b6b2000,13,0,0,0
0x7f00003b2180,0x2b743d180,16,0,9,1
0x7effe1dee300,0x2bff34300,17,0,0,0
0x7effd1d95f80,0x2b11a4f80,17,0,7,3
0x7f008e228a00,0x2b43dea00,14,0,4,0
0x7f0155ada980,0x207584980,16,0,5,1
0x7f01260a7300,0x2bca8f300,17,0,8,0
0x7f015f76ad80,0x275e32d80,16,0,7,3
0x7f00714fe880,0x2b206b880,13,0,13,1
0x7f00511a0900,0x2b0e7f900,16,0,12,0
0x7effc4567700,0x22abe3700,17,0,10,2
0x7f003cbe5e80,0x200fd0e80,14,0,7,3
0x7effe035fb80,0x200e11b80,17,0,13,1
0x7f00a0e5cd00,0x2e35c9d00,16,0,14,2
0x7f01612b5080,0x28f931080,13,0,9,1
0x7f00dd450080,0x2b091b080,13,0,9,1
0x7f017954ec00,0x1fc3ddc00,13,0,14,2
0x7f005f6d1c80,0x28ebd5c80,13,0,15,3
0x7f00e01c0200,0x268d56200,14,0,0,0
0x7effd0139e80,0x1c8a64e80,14,0,7,3
0x7f012bc34f80,0x2b6836f80,17,0,7,3
0x7f000eaf9600,0x25d0cd600,14,0,10,2
0x7efff9e4af80,0x26db64f80,17,0,7,3
0x7f009485a900,0x2684ff900,16,0,12,0
0x7f010b66e080,0x268e18080,13,0,1,1
0x7f0148552e00,0x2b3f0be00,14,0,14,2
0x7f015d1a0400,0x2b1bed400,13,0,10,2
0x7f0040f86d00,0x2bdb5dd00,16,0,14,2
0x7f0120695900,0x26d63d900,16,0,12,0
0x7f00b4c19200,0x21430c200,14,0,0,0
0x7f00d6293280,0x2b8a7b280,14,0,9,1
0x7f00439e2a00,0x2b07e7a00,14,0,12,0
0x7f0088a39580,0x1e4023580,16,0,11,3
0x7f01514ece00,0x206d45e00,14,0,14,2
0x7f0174eea280,0x1f49e3280,14,0,9,1
0x7effb41b0400,0x217196400,13,0,2,2
0x7f0096409580,0x2040ad580,16,0,11,3
0x7f00991c9480,0x2e4561480,13,0,11,3
0x7f00bd8dbd80,0x1fd2eed80,16,0,7,3
0x7f004c76bd00,0x1faa66d00,16,0,6,2
0x7f0185ded080,0x2b62b0080,13,0,1,1
0x7f00754ed600,0x1e169a600,14,0,2,2
0x7effd27c5780,0x204eb3780,17,0,11,3
0x7f00ebe5b480,0x2b0e5e480,13,0,3,3
0x7f00a9425d00,0x2b1be7d00,16,0,14,2
0x7f00e3973a00,0x228caea00,14,0,4,0
0x7effe5cab980,0x2c3631980,16,0,13,1
0x7f0129868f00,0x1e0fe8f00,17,0,6,2
0x7f0151dd8a80,0x1fef36a80,14,0,5,1
0x7f003dcac700,0x270ebb700,17,0,10,2
0x7f005d54aa00,0x20212ba00,14,0,12,0
0x7effa31aff80,0x2bb9a9f80,17,0,15,3
0x7f00c04d4500,0x20a1e6500,16,0,2,2
0x7f00fcd76480,0x1b40a4480,13,0,3,3
0x7f00a076b280,0x26c855280,14,0,9,1
0x7effc76c8080,0x1c7dab080,13,0,9,1
0x7f0035b6ec80,0x1e1682c80,13,0,7,3
0x7f00076b3780,0x1ffa30780,17,0,3,3
0x7f016c1f7980,0x23141d980,16,0,13,1
0x7f012435d500,0x209d25500,16,0,10,2
0x7f016d151300,0x2b3ee5300,17,0,8,0
0x7f0128ea4700,0x126ce2700,17,0,2,2
0x7f015c1f5380,0x1e2078380,17,0,1,1
0x7f0147eafc00,0x2b0578c00,13,0,6,2
0x7f0123631300,0x205e69300,17,0,8,0
0x7f012165ec00,0x1fdbf4c00,13,0,6,2
0x7f00f9b86e00,0x20513ae00,14,0,6,2
0x7f00a1e9dd00,0x2c1aa7d00,16,0,14,2
0x7f00e7556000,0x2bddc4000,13,0,0,0
0x7f00ebfd9580,0x20eb4a580,16,0,3,3
0x7f00a0ac4380,0x262f44380,17,0,1,1
0x7f00b4be7580,0x2861ca580,16,0,3,3
0x7effb5424d00,0x23431ad00,16,0,6,2
0x7f010cb35500,0x2b2f12500,16,0,2,2
0x7f00c1977980,0x1e3293980,16,0,13,1
0x7f001d607d80,0x1fc9c8d80,16,0,7,3
0x7f0106d31980,0x23e7ed980,16,0,13,1
0x7f0035293980,0x22cc55980,16,0,13,1
0x7f0002d87a80,0x1fe54fa80,14,0,13,1
0x7f017e8c2c00,0x20644ac00,13,0,6,2
0x7f0089e6d880,0x227254880,13,0,5,1
0x7f017e902b80,0x1fd77db80,17,0,13,1
0x7effe00fe380,0x2b5666380,17,0,1,1
0x7f017641d980,0x1e4515980,16,0,13,1
0x7effd5582a80,0x2b385fa80,14,0,13,1
0x7f015cce3680,0x286200680,14,0,3,3
0x7effa5c66500,0x21c31f500,16,0,10,2
0x7effb4847f00,0x2bf2a0f00,17,0,6,2
0x7f0026d33a00,0x1ec817a00,14,0,12,0
0x7f0064075900,0x2b6e39900,16,0,12,0
0x7f0134bdde00,0x2b71ace00,14,0,6,2
0x7f015e342080,0x2059a3080,13,0,9,1
0x7f0141cf7b80,0x2c113bb80,17,0,13,1
0x7effa3204580,0x2138d9580,16,0,11,3
0x7f00878e6f80,0x2020b6f80,17,0,7,3
0x7f0108806400,0x1f09ca400,13,0,2,2
0x7f00483b6980,0x2002ec980,16,0,5,1
0x7eff97b16e80,0x2bb63ee80,14,0,7,3
0x7f017a277880,0x2643f1880,13,0,13,1
0x7f009c4d7100,0x2e30c8100,16,0,0,0
0x7eff944f9700,0x2007a2700,17,0,2,2
0x7f0135a0f180,0x1e2fd3180,16,0,9,1
0x7effc5453480,0x26bdaf480,13,0,11,3
0x7effa8bb8e80,0x2870f9e80,14,0,15,3
0x7f0122fa2480,0x2c15fb480,13,0,11,3
0x7effbb200200,0x1fc723200,14,0,8,0
0x7efffa479e00,0x1e1961e00,14,0,14,2
0x7f005165db00,0x20b7d1b00,17,0,12,0
0x7effa6ce5c80,0x2b0706c80,13,0,7,3
0x7f00d25bf000,0x2b5716000,13,0,0,0
0x7f00d7cf7200,0x21203e200,14,0,0,0
0x7f0111eef400,0x265485400,13,0,10,2
0x7efffd89c400,0x2b7c35400,13,0,10,2
0x7f00adf30880,0x2b2fc2880,13,0,5,1
0x7effcd308a80,0x2c45f6a80,14,0,5,1
0x7effcf4dbf80,0x204e58f80,17,0,7,3
0x7efffef90200,0x2040ee200,14,0,0,0
0x7effd8b2fe00,0x229603e00,14,0,14,2
0x7f00d5b10200,0x2b63b9200,14,0,8,0
0x7f00d4f38500,0x207bda500,16,0,2,2
0x7f004a4e5400,0x2097eb400,13,0,10,2
0x7f0159000a00,0x207731a00,14,0,12,0
0x7efff9048a00,0x229a0ba00,14,0,12,0
0x7f016d49ec00,0x2b6060c00,13,0,6,2
0x7f005008e580,0x2328b4580,16,0,3,3
0x7f003bcc9300,0x1f0204300,17,0,0,0
0x7effd61f1000,0x1de82d000,13,0,8,0
0x7f00ed001300,0x209f18300,17,0,0,0
0x7f011b78ca00,0x1dc961a00,14,0,12,0
0x7effdbf6f080,0x20c927080,13,0,9,1
0x7f0030507580,0x2e38a8580,16,0,3,3
0x7f0095465680,0x2ba581680,14,0,11,3
0x7f017dd04200,0x1edb65200,14,0,8,0
0x7f0183248e00,0x2b6e14e00,14,0,6,2
0x7f013104c100,0x28a32f100,16,0,8,0
0x7f0039c94b00,0x2b1c88b00,17,0,4,0
0x7effacc87a80,0x14f24ea80,14,0,5,1
0x7f001c85e700,0x22a99e700,17,0,2,2
0x7f018bcc1a00,0x2c0dcba00,14,0,12,0
0x7efff1bccb00,0x1e9f4ab00,17,0,4,0
0x7f0116128f00,0x1e8737f00,17,0,14,2
0x7effdfca3700,0x2bef82700,17,0,2,2
0x7effbe61c580,0x2b54b6580,16,0,3,3
0x7effe3775380,0x2e3fbe380,17,0,1,1
0x7f00fc5a4600,0x2bf2d5600,14,0,10,2
0x7f0170a0c400,0x22f1c8400,13,0,2,2
0x7eff92cfd500,0x2747df500,16,0,10,2
0x7f0005111380,0x12405a380,17,0,1,1
0x7f00e47d4f00,0x211731f00,17,0,14,2
0x7effb73e3b00,0x20bbc5b00,17,0,12,0
0x7effc7ea9500,0x225015500,16,0,10,2
